"image","loai","dang","trangthai"
"img000001.jpg","Chuối cau","Buồng","Chín"
"img000002.jpg","Chuối cau","Buồng","Chín"
"img000003.jpg","Chuối cau","Buồng","Chín"
"img000004.jpg","Chuối cau","Buồng","Chín"
"img000005.jpg","Chuối cau","Buồng","Chín"
"img000006.jpg","Chuối cau","Buồng","Chín"
"img000007.jpg","Chuối cau","Buồng","Chín"
"img000008.jpeg","Chuối cau","Buồng","Chín"
"img000009.jpg","Chuối cau","Buồng","Chín"
"img000010.jpg","Chuối cau","Buồng","Chín"
"img000011.jpg","Chuối cau","Buồng","Chín"
"img000012.jpg","Chuối cau","Buồng","Chín"
"img000013.jpg","Chuối cau","Buồng","Chín"
"img000014.jpg","Chuối cau","Buồng","Chín"
"img000015.jpg","Chuối cau","Buồng","Chín"
"img000016.jpg","Chuối cau","Buồng","Chín"
"img000017.jpg","Chuối cau","Buồng","Chín"
"img000018.jpg","Chuối cau","Buồng","Chín"
"img000019.jpg","Chuối cau","Buồng","Chín"
"img000020.jpg","Chuối cau","Buồng","Chín"
"img000021.jpg","Chuối cau","Buồng","Chín"
"img000022.jpg","Chuối cau","Buồng","Chín"
"img000023.jpg","Chuối cau","Buồng","Chín"
"img000024.jpg","Chuối cau","Buồng","Chín"
"img000025.jpg","Chuối cau","Buồng","Chín"
"img000026.jpg","Chuối cau","Buồng","Chín"
"img000027.jpg","Chuối cau","Buồng","Chín"
"img000028.jpg","Chuối cau","Buồng","Chín"
"img000029.jpg","Chuối cau","Buồng","Chín"
"img000030.jpg","Chuối cau","Buồng","Chín"
"img000031.jpg","Chuối cau","Buồng","Chín"
"img000032.jpg","Chuối cau","Buồng","Chín"
"img000033.jpg","Chuối cau","Buồng","Chín"
"img000034.jpg","Chuối cau","Buồng","Chín"
"img000035.png","Chuối cau","Buồng","Chín"
"img000036.jpg","Chuối cau","Buồng","Xanh"
"img000037.jpg","Chuối cau","Buồng","Xanh"
"img000038.jpg","Chuối cau","Buồng","Xanh"
"img000039.jpg","Chuối cau","Buồng","Xanh"
"img000040.jpg","Chuối cau","Buồng","Xanh"
"img000041.jpg","Chuối cau","Buồng","Xanh"
"img000042.jpg","Chuối cau","Buồng","Xanh"
"img000043.jpg","Chuối cau","Buồng","Xanh"
"img000044.jpg","Chuối cau","Buồng","Xanh"
"img000045.jpg","Chuối cau","Buồng","Xanh"
"img000046.jpg","Chuối cau","Buồng","Xanh"
"img000047.jpg","Chuối cau","Buồng","Xanh"
"img000048.jpg","Chuối cau","Buồng","Xanh"
"img000049.jpg","Chuối cau","Buồng","Xanh"
"img000050.jpg","Chuối cau","Buồng","Xanh"
"img000051.jpg","Chuối cau","Buồng","Xanh"
"img000052.jpg","Chuối cau","Buồng","Xanh"
"img000053.jpg","Chuối cau","Buồng","Xanh"
"img000054.jpg","Chuối cau","Buồng","Xanh"
"img000055.jpg","Chuối cau","Buồng","Xanh"
