image,loai,dang,trangthai,split
dataset_demo/img004473.jpg,Chuối xiêm,Trái,Chín,train
dataset_demo/img002956.jpg,Chuối sáp,Trái,Chín,train
dataset_demo/img001885.jpg,Chuối già,Trái,Chín,train
dataset_demo/img001297.jpg,Chuối già,Buồng,Xanh,train
dataset_demo/img001577.jpg,Chuối già,Nải,Xanh,train
dataset_demo/img001575.jpg,Chuối già,Nải,Xanh,train
dataset_demo/img001632.jpg,Chuối già,Nải,Xanh,train
dataset_demo/img004004.jpg,Chuối xiêm,Buồng,Xanh,train
dataset_demo/img004692.jpg,Chuối xiêm,Trái,Xanh,train
dataset_demo/img003546.jpg,Chuối táo quạ,Buồng,Xanh,train
dataset_demo/img002076.jpg,Chuối già,Trái,Xanh,train
dataset_demo/img001769.jpg,Chuối già,Trái,Chín,train
dataset_demo/img002009.jpg,Chuối già,Trái,Chín,train
dataset_demo/img000920.jpg,Chuối cau,Trái,Xanh,train
dataset_demo/img002176.jpg,Chuối già,Trái,Xanh,train
dataset_demo/img002525.jpg,Chuối sáp,Nải,Xanh,train
dataset_demo/img002065.jpg,Chuối già,Trái,Xanh,train
dataset_demo/img002714.jpg,Chuối sáp,Trái,Chín,train
dataset_demo/img001212.jpg,Chuối già,Buồng,Xanh,train
dataset_demo/img000588.jpg,Chuối cau,Trái,Chín,train
dataset_demo/img003599.jpg,Chuối táo quạ,Buồng,Xanh,train
dataset_demo/img003545.jpg,Chuối táo quạ,Buồng,Xanh,train
dataset_demo/img001026.jpg,Chuối cau,Trái,Xanh,train
dataset_demo/img004443.jpg,Chuối xiêm,Trái,Chín,train
dataset_demo/img000546.jpg,Chuối cau,Trái,Chín,train
dataset_demo/img002935.jpg,Chuối sáp,Trái,Chín,train
dataset_demo/img003293.jpg,Chuối sáp,Trái,Xanh,train
dataset_demo/img000382.jpg,Chuối cau,Trái,Chín,train
dataset_demo/img004643.jpg,Chuối xiêm,Trái,Chín,train
dataset_demo/img004691.jpg,Chuối xiêm,Trái,Xanh,train
dataset_demo/img005149.jpg,Chuối xiêm,Trái,Xanh,train
dataset_demo/img004128.jpg,Chuối xiêm,Buồng,Xanh,train
dataset_demo/img001309.jpg,Chuối già,Buồng,Xanh,train
dataset_demo/img003469.jpg,Chuối sáp,Trái,Xanh,train
dataset_demo/img004267.jpg,Chuối xiêm,Nải,Xanh,train
dataset_demo/img001175.jpg,Chuối già,Buồng,Xanh,train
dataset_demo/img001048.jpg,Chuối cau,Trái,Xanh,train
dataset_demo/img004196.jpg,Chuối xiêm,Nải,Chín,train
dataset_demo/img002295.jpg,Chuối sáp,Buồng,Chín,train
dataset_demo/img001518.jpg,Chuối già,Nải,Chín,train
dataset_demo/img000823.jpg,Chuối cau,Trái,Xanh,train
dataset_demo/img003392.jpg,Chuối sáp,Trái,Xanh,train
dataset_demo/img003786.jpg,Chuối táo quạ,Trái,Xanh,train
dataset_demo/img000472.jpg,Chuối cau,Trái,Chín,train
dataset_demo/img003332.jpg,Chuối sáp,Trái,Xanh,train
dataset_demo/img004229.jpg,Chuối xiêm,Nải,Chín,train
dataset_demo/img005035.jpg,Chuối xiêm,Trái,Xanh,train
dataset_demo/img004462.jpg,Chuối xiêm,Trái,Chín,train
dataset_demo/img004215.jpg,Chuối xiêm,Nải,Chín,train
dataset_demo/img000061.jpg,Chuối cau,Buồng,Xanh,train
dataset_demo/img001337.jpg,Chuối già,Buồng,Xanh,train
dataset_demo/img000771.jpg,Chuối cau,Trái,Xanh,train
dataset_demo/img000418.jpg,Chuối cau,Trái,Chín,train
dataset_demo/img000321.jpg,Chuối cau,Nải,Xanh,train
dataset_demo/img002285.jpg,Chuối sáp,Buồng,Chín,train
dataset_demo/img001537.jpg,Chuối già,Nải,Chín,train
dataset_demo/img000261.jpg,Chuối cau,Nải,Chín,train
dataset_demo/img002355.jpg,Chuối sáp,Buồng,Xanh,train
dataset_demo/img000806.jpg,Chuối cau,Trái,Xanh,train
dataset_demo/img000951.jpg,Chuối cau,Trái,Xanh,train
dataset_demo/img000769.jpg,Chuối cau,Trái,Xanh,train
dataset_demo/img001336.jpg,Chuối già,Buồng,Xanh,train
dataset_demo/img001576.jpg,Chuối già,Nải,Xanh,train
dataset_demo/img000760.jpg,Chuối cau,Trái,Xanh,train
dataset_demo/img002181.jpg,Chuối già,Trái,Xanh,train
dataset_demo/img002035.jpg,Chuối già,Trái,Xanh,train
dataset_demo/img000462.jpg,Chuối cau,Trái,Chín,train
dataset_demo/img002884.jpg,Chuối sáp,Trái,Chín,train
dataset_demo/img004553.jpg,Chuối xiêm,Trái,Chín,train
dataset_demo/img003049.jpg,Chuối sáp,Trái,Xanh,train
dataset_demo/img004200.jpg,Chuối xiêm,Nải,Chín,train
dataset_demo/img000207.jpg,Chuối cau,Nải,Chín,train
dataset_demo/img003461.jpg,Chuối sáp,Trái,Xanh,train
dataset_demo/img004395.jpg,Chuối xiêm,Trái,Chín,train
dataset_demo/img003491.jpg,Chuối sáp,Trái,Xanh,train
dataset_demo/img001089.jpg,Chuối cau,Trái,Xanh,train
dataset_demo/img004833.jpg,Chuối xiêm,Trái,Xanh,train
dataset_demo/img000221.jpg,Chuối cau,Nải,Chín,train
dataset_demo/img002485.jpg,Chuối sáp,Nải,Xanh,train
dataset_demo/img005087.jpg,Chuối xiêm,Trái,Xanh,train
dataset_demo/img000359.jpg,Chuối cau,Trái,Chín,train
dataset_demo/img004117.jpg,Chuối xiêm,Buồng,Xanh,train
dataset_demo/img000916.jpg,Chuối cau,Trái,Xanh,train
dataset_demo/img003351.jpg,Chuối sáp,Trái,Xanh,train
dataset_demo/img000208.jpg,Chuối cau,Nải,Chín,train
dataset_demo/img002782.jpg,Chuối sáp,Trái,Chín,train
dataset_demo/img000230.jpg,Chuối cau,Nải,Chín,train
dataset_demo/img000846.jpg,Chuối cau,Trái,Xanh,train
dataset_demo/img001753.jpg,Chuối già,Trái,Chín,train
dataset_demo/img000019.jpg,Chuối cau,Buồng,Chín,train
dataset_demo/img000031.jpg,Chuối cau,Buồng,Chín,train
dataset_demo/img002212.jpg,Chuối già,Trái,Xanh,train
dataset_demo/img001646.jpg,Chuối già,Nải,Xanh,train
dataset_demo/img002922.jpg,Chuối sáp,Trái,Chín,train
dataset_demo/img003742.jpg,Chuối táo quạ,Trái,Chín,train
dataset_demo/img001768.jpg,Chuối già,Trái,Chín,train
dataset_demo/img000698.jpg,Chuối cau,Trái,Chín,train
dataset_demo/img004486.jpg,Chuối xiêm,Trái,Chín,train
dataset_demo/img000675.jpg,Chuối cau,Trái,Chín,train
dataset_demo/img002447.jpg,Chuối sáp,Nải,Chín,train
dataset_demo/img000330.jpg,Chuối cau,Nải,Xanh,train
dataset_demo/img003057.jpg,Chuối sáp,Trái,Xanh,train
dataset_demo/img002998.jpg,Chuối sáp,Trái,Xanh,train
dataset_demo/img004455.jpg,Chuối xiêm,Trái,Chín,train
dataset_demo/img004639.jpg,Chuối xiêm,Trái,Chín,train
dataset_demo/img001809.jpg,Chuối già,Trái,Chín,train
dataset_demo/img004420.jpg,Chuối xiêm,Trái,Chín,train
dataset_demo/img001226.jpg,Chuối già,Buồng,Xanh,train
dataset_demo/img003837.jpg,Chuối xiêm,Buồng,Chín,train
dataset_demo/img000604.jpg,Chuối cau,Trái,Chín,train
dataset_demo/img000660.jpg,Chuối cau,Trái,Chín,train
dataset_demo/img003490.jpg,Chuối sáp,Trái,Xanh,train
dataset_demo/img000028.jpg,Chuối cau,Buồng,Chín,train
dataset_demo/img000379.jpg,Chuối cau,Trái,Chín,train
dataset_demo/img000577.jpg,Chuối cau,Trái,Chín,train
dataset_demo/img000204.jpg,Chuối cau,Nải,Chín,train
dataset_demo/img002757.jpg,Chuối sáp,Trái,Chín,train
dataset_demo/img002811.jpg,Chuối sáp,Trái,Chín,train
dataset_demo/img000067.jpg,Chuối cau,Buồng,Xanh,train
dataset_demo/img002770.jpg,Chuối sáp,Trái,Chín,train
dataset_demo/img000414.jpg,Chuối cau,Trái,Chín,train
dataset_demo/img002206.jpg,Chuối già,Trái,Xanh,train
dataset_demo/img004389.jpg,Chuối xiêm,Trái,Chín,train
dataset_demo/img002191.jpg,Chuối già,Trái,Xanh,train
dataset_demo/img003658.jpg,Chuối táo quạ,Nải,Chín,train
dataset_demo/img001764.jpg,Chuối già,Trái,Chín,train
dataset_demo/img003266.jpg,Chuối sáp,Trái,Xanh,train
dataset_demo/img001781.jpg,Chuối già,Trái,Chín,train
dataset_demo/img004816.jpg,Chuối xiêm,Trái,Xanh,train
dataset_demo/img000079.jpg,Chuối cau,Buồng,Xanh,train
dataset_demo/img004872.jpg,Chuối xiêm,Trái,Xanh,train
dataset_demo/img003223.jpg,Chuối sáp,Trái,Xanh,train
dataset_demo/img004607.jpg,Chuối xiêm,Trái,Chín,train
dataset_demo/img005033.jpg,Chuối xiêm,Trái,Xanh,train
dataset_demo/img001148.jpg,Chuối già,Buồng,Xanh,train
dataset_demo/img003177.jpg,Chuối sáp,Trái,Xanh,train
dataset_demo/img000831.jpg,Chuối cau,Trái,Xanh,train
dataset_demo/img003755.jpg,Chuối táo quạ,Trái,Chín,train
dataset_demo/img004951.jpg,Chuối xiêm,Trái,Xanh,train
dataset_demo/img002051.jpg,Chuối già,Trái,Xanh,train
dataset_demo/img005111.jpg,Chuối xiêm,Trái,Xanh,train
dataset_demo/img003487.jpg,Chuối sáp,Trái,Xanh,train
dataset_demo/img004765.jpg,Chuối xiêm,Trái,Xanh,train
dataset_demo/img000500.jpg,Chuối cau,Trái,Chín,train
dataset_demo/img004932.jpg,Chuối xiêm,Trái,Xanh,train
dataset_demo/img001593.jpg,Chuối già,Nải,Xanh,train
dataset_demo/img002965.jpg,Chuối sáp,Trái,Xanh,train
dataset_demo/img004577.jpg,Chuối xiêm,Trái,Chín,train
dataset_demo/img003650.jpg,Chuối táo quạ,Nải,Chín,train
dataset_demo/img005129.jpg,Chuối xiêm,Trái,Xanh,train
dataset_demo/img003791.jpg,Chuối táo quạ,Trái,Xanh,train
dataset_demo/img001844.jpg,Chuối già,Trái,Chín,train
dataset_demo/img001685.jpg,Chuối già,Trái,Chín,train
dataset_demo/img003008.jpg,Chuối sáp,Trái,Xanh,train
dataset_demo/img000483.jpg,Chuối cau,Trái,Chín,train
dataset_demo/img004202.jpg,Chuối xiêm,Nải,Chín,train
dataset_demo/img001823.jpg,Chuối già,Trái,Chín,train
dataset_demo/img001087.jpg,Chuối cau,Trái,Xanh,train
dataset_demo/img000556.jpg,Chuối cau,Trái,Chín,train
dataset_demo/img004378.jpg,Chuối xiêm,Trái,Chín,train
dataset_demo/img004930.jpg,Chuối xiêm,Trái,Xanh,train
dataset_demo/img004864.jpg,Chuối xiêm,Trái,Xanh,train
dataset_demo/img002729.jpg,Chuối sáp,Trái,Chín,train
dataset_demo/img001895.jpg,Chuối già,Trái,Chín,train
dataset_demo/img003138.jpg,Chuối sáp,Trái,Xanh,train
dataset_demo/img001734.jpg,Chuối già,Trái,Chín,train
dataset_demo/img000560.jpg,Chuối cau,Trái,Chín,train
dataset_demo/img000420.jpg,Chuối cau,Trái,Chín,train
dataset_demo/img004186.jpg,Chuối xiêm,Nải,Chín,train
dataset_demo/img000484.jpg,Chuối cau,Trái,Chín,train
dataset_demo/img002190.jpg,Chuối già,Trái,Xanh,train
dataset_demo/img002343.jpg,Chuối sáp,Buồng,Xanh,train
dataset_demo/img005055.jpg,Chuối xiêm,Trái,Xanh,train
dataset_demo/img003321.jpg,Chuối sáp,Trái,Xanh,train
dataset_demo/img002804.jpg,Chuối sáp,Trái,Chín,train
dataset_demo/img000346.jpg,Chuối cau,Nải,Xanh,train
dataset_demo/img005167.jpg,Chuối xiêm,Trái,Xanh,train
dataset_demo/img000649.jpg,Chuối cau,Trái,Chín,train
dataset_demo/img002889.jpg,Chuối sáp,Trái,Chín,train
dataset_demo/img002296.jpg,Chuối sáp,Buồng,Chín,train
dataset_demo/img002164.jpg,Chuối già,Trái,Xanh,train
dataset_demo/img003817.jpg,Chuối táo quạ,Trái,Xanh,train
dataset_demo/img004768.jpg,Chuối xiêm,Trái,Xanh,train
dataset_demo/img002171.jpg,Chuối già,Trái,Xanh,train
dataset_demo/img004533.jpg,Chuối xiêm,Trái,Chín,train
dataset_demo/img001600.jpg,Chuối già,Nải,Xanh,train
dataset_demo/img002990.jpg,Chuối sáp,Trái,Xanh,train
dataset_demo/img003354.jpg,Chuối sáp,Trái,Xanh,train
dataset_demo/img001034.jpg,Chuối cau,Trái,Xanh,train
dataset_demo/img002602.jpg,Chuối sáp,Trái,Chín,train
dataset_demo/img001300.jpg,Chuối già,Buồng,Xanh,train
dataset_demo/img005133.jpg,Chuối xiêm,Trái,Xanh,train
dataset_demo/img000875.jpg,Chuối cau,Trái,Xanh,train
dataset_demo/img004976.jpg,Chuối xiêm,Trái,Xanh,train
dataset_demo/img003158.jpg,Chuối sáp,Trái,Xanh,train
dataset_demo/img000657.jpg,Chuối cau,Trái,Chín,train
dataset_demo/img002193.jpg,Chuối già,Trái,Xanh,train
dataset_demo/img004865.jpg,Chuối xiêm,Trái,Xanh,train
dataset_demo/img000486.jpg,Chuối cau,Trái,Chín,train
dataset_demo/img003483.jpg,Chuối sáp,Trái,Xanh,train
dataset_demo/img003359.jpg,Chuối sáp,Trái,Xanh,train
dataset_demo/img004284.jpg,Chuối xiêm,Nải,Xanh,train
dataset_demo/img003883.jpg,Chuối xiêm,Buồng,Chín,train
dataset_demo/img003853.jpg,Chuối xiêm,Buồng,Chín,train
dataset_demo/img001859.jpg,Chuối già,Trái,Chín,train
dataset_demo/img000841.jpg,Chuối cau,Trái,Xanh,train
dataset_demo/img000004.jpg,Chuối cau,Buồng,Chín,train
dataset_demo/img001278.jpg,Chuối già,Buồng,Xanh,train
