image,loai,dang,trangthai,split
img002630.jpg,Chuối sáp,Trái,Chín,train
img003284.jpg,Chuối sáp,Trái,Xanh,train
img002611.jpg,Chuối sáp,Trái,Chín,train
img004002.jpg,Chuối xiêm,Buồng,Xanh,train
img003450.jpg,Chuối sáp,Trái,Xanh,train
img003278.jpg,Chuối sáp,Trái,Xanh,train
img001341.jpg,Chuối già,Buồng,Xanh,train
img003383.jpg,Chuối sáp,Trái,Xanh,train
img003394.jpg,Chuối sáp,Trái,Xanh,train
img001853.jpg,Chuối già,Trái,Chín,train
img001215.jpg,Chuối già,Buồng,Xanh,train
img002635.jpg,Chuối sáp,Trái,Chín,train
img000642.jpg,Chuối cau,Trái,Chín,train
img003247.jpg,Chuối sáp,Trái,Xanh,train
img003353.jpg,Chuối sáp,Trái,Xanh,train
img002891.jpg,Chuối sáp,Trái,Chín,train
img001274.jpg,Chuối già,Buồng,Xanh,train
img000546.jpg,Chuối cau,Trái,Chín,train
img002310.jpg,Chuối sáp,Buồng,Xanh,train
img003868.jpg,Chuối xiêm,Buồng,Chín,train
img003886.jpg,Chuối xiêm,Buồng,Chín,train
img003116.jpg,Chuối sáp,Trái,Xanh,train
img001178.jpg,Chuối già,Buồng,Xanh,train
img002522.jpg,Chuối sáp,Nải,Xanh,train
img002751.jpg,Chuối sáp,Trái,Chín,train
img000902.jpg,Chuối cau,Trái,Xanh,train
img002805.jpg,Chuối sáp,Trái,Chín,train
img005201.jpg,Chuối xiêm,Trái,Xanh,train
img001565.jpg,Chuối già,Nải,Chín,train
img002964.jpg,Chuối sáp,Trái,Xanh,train
img002181.jpg,Chuối già,Trái,Xanh,train
img003166.jpg,Chuối sáp,Trái,Xanh,train
img004357.jpg,Chuối xiêm,Trái,Chín,train
img002210.jpg,Chuối già,Trái,Xanh,train
img002135.jpg,Chuối già,Trái,Xanh,train
img001268.jpg,Chuối già,Buồng,Xanh,train
img000353.jpg,Chuối cau,Trái,Chín,train
img003883.jpg,Chuối xiêm,Buồng,Chín,train
img001564.jpg,Chuối già,Nải,Chín,train
img002290.jpg,Chuối sáp,Buồng,Chín,train
img001332.jpg,Chuối già,Buồng,Xanh,train
img001337.jpg,Chuối già,Buồng,Xanh,train
img004082.jpg,Chuối xiêm,Buồng,Xanh,train
img001671.jpg,Chuối già,Trái,Chín,train
img003609.jpg,Chuối táo quạ,Buồng,Xanh,train
img000280.jpg,Chuối cau,Nải,Chín,train
img002040.jpg,Chuối già,Trái,Xanh,train
img001073.jpg,Chuối cau,Trái,Xanh,train
img004006.jpg,Chuối xiêm,Buồng,Xanh,train
img003412.jpg,Chuối sáp,Trái,Xanh,train
img001689.jpg,Chuối già,Trái,Chín,train
img002640.jpg,Chuối sáp,Trái,Chín,train
img004107.jpg,Chuối xiêm,Buồng,Xanh,train
img004473.jpg,Chuối xiêm,Trái,Chín,train
img003872.jpg,Chuối xiêm,Buồng,Chín,train
img004598.jpg,Chuối xiêm,Trái,Chín,train
img003895.jpg,Chuối xiêm,Buồng,Chín,train
img000927.jpg,Chuối cau,Trái,Xanh,train
img000123.jpg,Chuối cau,Buồng,Xanh,train
img000641.jpg,Chuối cau,Trái,Chín,train
img002953.jpg,Chuối sáp,Trái,Chín,train
img000501.jpg,Chuối cau,Trái,Chín,train
img001405.jpg,Chuối già,Buồng,Xanh,train
img002627.jpg,Chuối sáp,Trái,Chín,train
img000226.jpg,Chuối cau,Nải,Chín,train
img001806.jpg,Chuối già,Trái,Chín,train
img003363.jpg,Chuối sáp,Trái,Xanh,train
img004660.jpg,Chuối xiêm,Trái,Xanh,train
img000753.jpg,Chuối cau,Trái,Xanh,train
img000795.jpg,Chuối cau,Trái,Xanh,train
img004344.jpg,Chuối xiêm,Trái,Chín,train
img004497.jpg,Chuối xiêm,Trái,Chín,train
img002234.jpg,Chuối già,Trái,Xanh,train
img004635.jpg,Chuối xiêm,Trái,Chín,train
img002749.jpg,Chuối sáp,Trái,Chín,train
img001302.jpg,Chuối già,Buồng,Xanh,train
img002130.jpg,Chuối già,Trái,Xanh,train
img003042.jpg,Chuối sáp,Trái,Xanh,train
img004322.jpg,Chuối xiêm,Trái,Chín,train
img004582.jpg,Chuối xiêm,Trái,Chín,train
img004913.jpg,Chuối xiêm,Trái,Xanh,train
img002265.jpg,Chuối già,Trái,Xanh,train
img000665.jpg,Chuối cau,Trái,Chín,train
img000821.jpg,Chuối cau,Trái,Xanh,train
img003164.jpg,Chuối sáp,Trái,Xanh,train
img001195.jpg,Chuối già,Buồng,Xanh,train
img004713.jpg,Chuối xiêm,Trái,Xanh,train
img004341.jpg,Chuối xiêm,Trái,Chín,train
img003742.jpg,Chuối táo quạ,Trái,Chín,train
img004697.jpg,Chuối xiêm,Trái,Xanh,train
img001097.jpg,Chuối cau,Trái,Xanh,train
img004790.jpg,Chuối xiêm,Trái,Xanh,train
img000119.jpg,Chuối cau,Buồng,Xanh,train
img002288.jpg,Chuối sáp,Buồng,Chín,train
img001009.jpg,Chuối cau,Trái,Xanh,train
img002306.jpg,Chuối sáp,Buồng,Chín,train
img001811.jpg,Chuối già,Trái,Chín,train
img002696.jpg,Chuối sáp,Trái,Chín,train
img002468.jpg,Chuối sáp,Nải,Chín,train
img002070.jpg,Chuối già,Trái,Xanh,train
img001783.jpg,Chuối già,Trái,Chín,train
img000426.jpg,Chuối cau,Trái,Chín,train
img001927.jpg,Chuối già,Trái,Chín,train
img003524.jpg,Chuối táo quạ,Buồng,Chín,train
img003899.jpg,Chuối xiêm,Buồng,Xanh,train
img000120.jpg,Chuối cau,Buồng,Xanh,train
img005146.jpg,Chuối xiêm,Trái,Xanh,train
img002515.jpg,Chuối sáp,Nải,Xanh,train
img003500.jpg,Chuối sáp,Trái,Xanh,train
img000273.jpg,Chuối cau,Nải,Chín,train
img000807.jpg,Chuối cau,Trái,Xanh,train
img003059.jpg,Chuối sáp,Trái,Xanh,train
img000132.jpg,Chuối cau,Buồng,Xanh,train
img003824.jpg,Chuối xiêm,Buồng,Chín,train
img001325.jpg,Chuối già,Buồng,Xanh,train
img002996.jpg,Chuối sáp,Trái,Xanh,train
img000711.jpg,Chuối cau,Trái,Chín,train
img000028.jpg,Chuối cau,Buồng,Chín,train
img002513.jpg,Chuối sáp,Nải,Xanh,train
img000466.jpg,Chuối cau,Trái,Chín,train
img000281.jpg,Chuối cau,Nải,Chín,train
img000588.jpg,Chuối cau,Trái,Chín,train
img001767.jpg,Chuối già,Trái,Chín,train
img004543.jpg,Chuối xiêm,Trái,Chín,train
img003612.jpg,Chuối táo quạ,Buồng,Xanh,train
img001494.jpg,Chuối già,Nải,Chín,train
img002413.jpg,Chuối sáp,Nải,Chín,train
img003386.jpg,Chuối sáp,Trái,Xanh,train
img004362.jpg,Chuối xiêm,Trái,Chín,train
img003254.jpg,Chuối sáp,Trái,Xanh,train
img003917.jpg,Chuối xiêm,Buồng,Xanh,train
img003996.jpg,Chuối xiêm,Buồng,Xanh,train
img001004.jpg,Chuối cau,Trái,Xanh,train
img000936.jpg,Chuối cau,Trái,Xanh,train
img004437.jpg,Chuối xiêm,Trái,Chín,train
img000009.jpg,Chuối cau,Buồng,Chín,train
img004799.jpg,Chuối xiêm,Trái,Xanh,train
img002603.jpg,Chuối sáp,Trái,Chín,train
img000851.jpg,Chuối cau,Trái,Xanh,train
img001048.jpg,Chuối cau,Trái,Xanh,train
img004010.jpg,Chuối xiêm,Buồng,Xanh,train
img000610.jpg,Chuối cau,Trái,Chín,train
img003584.jpg,Chuối táo quạ,Buồng,Xanh,train
img005024.jpg,Chuối xiêm,Trái,Xanh,train
img001786.jpg,Chuối già,Trái,Chín,train
img002691.jpg,Chuối sáp,Trái,Chín,train
img003966.jpg,Chuối xiêm,Buồng,Xanh,train
img003444.jpg,Chuối sáp,Trái,Xanh,train
img005035.jpg,Chuối xiêm,Trái,Xanh,train
img004546.jpg,Chuối xiêm,Trái,Chín,train
img000149.jpg,Chuối cau,Buồng,Xanh,train
img005045.jpg,Chuối xiêm,Trái,Xanh,train
img003391.jpg,Chuối sáp,Trái,Xanh,train
img004120.jpg,Chuối xiêm,Buồng,Xanh,train
img001216.jpg,Chuối già,Buồng,Xanh,train
img002098.jpg,Chuối già,Trái,Xanh,train
img000771.jpg,Chuối cau,Trái,Xanh,train
img004889.jpg,Chuối xiêm,Trái,Xanh,train
img004825.jpg,Chuối xiêm,Trái,Xanh,train
img004594.jpg,Chuối xiêm,Trái,Chín,train
img002772.jpg,Chuối sáp,Trái,Chín,train
img002256.jpg,Chuối già,Trái,Xanh,train
img002269.jpg,Chuối già,Trái,Xanh,train
img002679.jpg,Chuối sáp,Trái,Chín,train
img002955.jpg,Chuối sáp,Trái,Chín,train
img004211.jpg,Chuối xiêm,Nải,Chín,train
img005171.jpg,Chuối xiêm,Trái,Xanh,train
img002634.jpg,Chuối sáp,Trái,Chín,train
img000295.jpg,Chuối cau,Nải,Xanh,train
img001717.jpg,Chuối già,Trái,Chín,train
img000954.jpg,Chuối cau,Trái,Xanh,train
img000431.jpg,Chuối cau,Trái,Chín,train
img002549.jpg,Chuối sáp,Nải,Xanh,train
img002211.jpg,Chuối già,Trái,Xanh,train
img003395.jpg,Chuối sáp,Trái,Xanh,train
img002035.jpg,Chuối già,Trái,Xanh,train
img000941.jpg,Chuối cau,Trái,Xanh,train
img005094.jpg,Chuối xiêm,Trái,Xanh,train
img000704.jpg,Chuối cau,Trái,Chín,train
img001394.jpg,Chuối già,Buồng,Xanh,train
img000750.jpg,Chuối cau,Trái,Chín,train
img002763.jpg,Chuối sáp,Trái,Chín,train
img001363.jpg,Chuối già,Buồng,Xanh,train
img004407.jpg,Chuối xiêm,Trái,Chín,train
img000837.jpg,Chuối cau,Trái,Xanh,train
img000818.jpg,Chuối cau,Trái,Xanh,train
img004377.jpg,Chuối xiêm,Trái,Chín,train
img004987.jpg,Chuối xiêm,Trái,Xanh,train
img004924.jpg,Chuối xiêm,Trái,Xanh,train
img005003.jpg,Chuối xiêm,Trái,Xanh,train
img001243.jpg,Chuối già,Buồng,Xanh,train
img003794.jpg,Chuối táo quạ,Trái,Xanh,train
img004572.jpg,Chuối xiêm,Trái,Chín,train
img001297.jpg,Chuối già,Buồng,Xanh,train
img003696.jpg,Chuối táo quạ,Nải,Xanh,train
img000459.jpg,Chuối cau,Trái,Chín,train
img001095.jpg,Chuối cau,Trái,Xanh,train
img004182.jpg,Chuối xiêm,Nải,Chín,train
img004870.jpg,Chuối xiêm,Trái,Xanh,train
img002375.jpg,Chuối sáp,Buồng,Xanh,train
img001944.jpg,Chuối già,Trái,Chín,train
img003919.jpg,Chuối xiêm,Buồng,Xanh,train
img002812.jpg,Chuối sáp,Trái,Chín,train
img001303.jpg,Chuối già,Buồng,Xanh,train
img003641.jpg,Chuối táo quạ,Nải,Chín,train
img004858.jpg,Chuối xiêm,Trái,Xanh,train
img004774.jpg,Chuối xiêm,Trái,Xanh,train
img003894.jpg,Chuối xiêm,Buồng,Chín,train
img004426.jpg,Chuối xiêm,Trái,Chín,train
img000791.jpg,Chuối cau,Trái,Xanh,train
img001757.jpg,Chuối già,Trái,Chín,train
img003165.jpg,Chuối sáp,Trái,Xanh,train
img001251.jpg,Chuối già,Buồng,Xanh,train
img001841.jpg,Chuối già,Trái,Chín,train
img002278.jpg,Chuối sáp,Buồng,Chín,train
img004862.jpg,Chuối xiêm,Trái,Xanh,train
img004490.jpg,Chuối xiêm,Trái,Chín,train
img001200.jpg,Chuối già,Buồng,Xanh,train
img003926.jpg,Chuối xiêm,Buồng,Xanh,train
img001213.jpg,Chuối già,Buồng,Xanh,train
img002700.jpg,Chuối sáp,Trái,Chín,train
img001538.jpg,Chuối già,Nải,Chín,train
img004165.jpg,Chuối xiêm,Nải,Chín,train
img000906.jpg,Chuối cau,Trái,Xanh,train
img002885.jpg,Chuối sáp,Trái,Chín,train
img004388.jpg,Chuối xiêm,Trái,Chín,train
img002334.jpg,Chuối sáp,Buồng,Xanh,train
img001688.jpg,Chuối già,Trái,Chín,train
img001578.jpg,Chuối già,Nải,Xanh,train
img002429.jpg,Chuối sáp,Nải,Chín,train
img003914.jpg,Chuối xiêm,Buồng,Xanh,train
img002943.jpg,Chuối sáp,Trái,Chín,train
img002790.jpg,Chuối sáp,Trái,Chín,train
img000997.jpg,Chuối cau,Trái,Xanh,train
img001413.jpg,Chuối già,Buồng,Xanh,train
img000098.jpg,Chuối cau,Buồng,Xanh,train
img000607.jpg,Chuối cau,Trái,Chín,train
img000667.jpg,Chuối cau,Trái,Chín,train
img003935.jpg,Chuối xiêm,Buồng,Xanh,train
img002820.jpg,Chuối sáp,Trái,Chín,train
img001911.jpg,Chuối già,Trái,Chín,train
img002460.jpg,Chuối sáp,Nải,Chín,train
img004420.jpg,Chuối xiêm,Trái,Chín,train
img003167.jpg,Chuối sáp,Trái,Xanh,train
img001310.jpg,Chuối già,Buồng,Xanh,train
img004537.jpg,Chuối xiêm,Trái,Chín,train
img003790.jpg,Chuối táo quạ,Trái,Xanh,train
img001105.jpg,Chuối cau,Trái,Xanh,train
img002957.jpg,Chuối sáp,Trái,Chín,train
img003222.jpg,Chuối sáp,Trái,Xanh,train
img003397.jpg,Chuối sáp,Trái,Xanh,train
img000472.jpg,Chuối cau,Trái,Chín,train
img003797.jpg,Chuối táo quạ,Trái,Xanh,train
img003787.jpg,Chuối táo quạ,Trái,Xanh,train
img002061.jpg,Chuối già,Trái,Xanh,train
img003232.jpg,Chuối sáp,Trái,Xanh,train
img005016.jpg,Chuối xiêm,Trái,Xanh,train
img001500.jpg,Chuối già,Nải,Chín,train
img000200.jpg,Chuối cau,Nải,Chín,train
