image,loai,dang,trangthai
image/img004473.jpg,Chuối xiêm,Trái,Chín
image/img002956.jpg,Chuối sáp,Trái,Chín
image/img001885.jpg,Chuối già,Trái,Chín
image/img001297.jpg,Chuối già,Buồng,Xanh
image/img001577.jpg,Chuối già,Nải,Xanh
image/img001575.jpg,Chuối già,Nải,Xanh
image/img001632.jpg,Chuối già,Nải,Xanh
image/img004004.jpg,Chuối xiêm,Buồng,Xanh
image/img004692.jpg,Chuối xiêm,Trái,Xanh
image/img003546.jpg,Chuối táo quạ,Buồng,Xanh
image/img002076.jpg,Chuối già,Trái,Xanh
image/img001769.jpg,Chuối già,Trái,Chín
image/img002009.jpg,Chuối già,Trái,Chín
image/img000920.jpg,Chuối cau,Trái,Xanh
image/img002176.jpg,Chuối già,Trái,Xanh
image/img002525.jpg,Chuối sáp,Nải,Xanh
image/img002065.jpg,Chuối già,Trái,Xanh
image/img002714.jpg,Chuối sáp,Trái,Chín
image/img001212.jpg,Chuối già,Buồng,Xanh
image/img000588.jpg,Chuối cau,Trái,Chín
image/img003599.jpg,Chuối táo quạ,Buồng,Xanh
image/img003545.jpg,Chuối táo quạ,Buồng,Xanh
image/img001026.jpg,Chuối cau,Trái,Xanh
image/img004443.jpg,Chuối xiêm,Trái,Chín
image/img000546.jpg,Chuối cau,Trái,Chín
image/img002935.jpg,Chuối sáp,Trái,Chín
image/img003293.jpg,Chuối sáp,Trái,Xanh
image/img000382.jpg,Chuối cau,Trái,Chín
image/img004643.jpg,Chuối xiêm,Trái,Chín
image/img004691.jpg,Chuối xiêm,Trái,Xanh
image/img005149.jpg,Chuối xiêm,Trái,Xanh
image/img004128.jpg,Chuối xiêm,Buồng,Xanh
image/img001309.jpg,Chuối già,Buồng,Xanh
image/img003469.jpg,Chuối sáp,Trái,Xanh
image/img004267.jpg,Chuối xiêm,Nải,Xanh
image/img001175.jpg,Chuối già,Buồng,Xanh
image/img001048.jpg,Chuối cau,Trái,Xanh
