image,loai,dang,trangthai,split
image/img004473.jpg,Chuối xiêm,Trái,Chín,train
image/img002956.jpg,Chuối sáp,Trái,Chín,train
image/img001885.jpg,Chuối già,Trái,Chín,train
image/img001297.jpg,Chuối già,Buồng,Xanh,train
image/img001577.jpg,Chuối già,Nải,Xanh,train
image/img001575.jpg,Chuối già,Nải,Xanh,train
image/img001632.jpg,Chuối già,Nải,Xanh,train
image/img004004.jpg,Chuối xiêm,Buồng,Xanh,train
image/img004692.jpg,Chuối xiêm,Trái,Xanh,train
image/img003546.jpg,Chuối táo quạ,Buồng,Xanh,train
image/img002076.jpg,Chuối già,Trái,Xanh,train
image/img001769.jpg,Chuối già,Trái,Chín,train
image/img002009.jpg,Chuối già,Trái,Chín,train
image/img000920.jpg,Chuối cau,Trái,Xanh,train
image/img002176.jpg,Chuối già,Trái,Xanh,train
image/img002525.jpg,Chuối sáp,Nải,Xanh,train
image/img002065.jpg,Chuối già,Trái,Xanh,train
image/img002714.jpg,Chuối sáp,Trái,Chín,train
image/img001212.jpg,Chuối già,Buồng,Xanh,train
image/img000588.jpg,Chuối cau,Trái,Chín,train
image/img003599.jpg,Chuối táo quạ,Buồng,Xanh,train
image/img003545.jpg,Chuối táo quạ,Buồng,Xanh,train
image/img001026.jpg,Chuối cau,Trái,Xanh,train
image/img004443.jpg,Chuối xiêm,Trái,Chín,train
image/img000546.jpg,Chuối cau,Trái,Chín,train
image/img002935.jpg,Chuối sáp,Trái,Chín,train
image/img003293.jpg,Chuối sáp,Trái,Xanh,train
image/img000382.jpg,Chuối cau,Trái,Chín,train
image/img004643.jpg,Chuối xiêm,Trái,Chín,train
image/img004691.jpg,Chuối xiêm,Trái,Xanh,train
image/img005149.jpg,Chuối xiêm,Trái,Xanh,train
image/img004128.jpg,Chuối xiêm,Buồng,Xanh,train
image/img001309.jpg,Chuối già,Buồng,Xanh,train
image/img003469.jpg,Chuối sáp,Trái,Xanh,train
image/img004267.jpg,Chuối xiêm,Nải,Xanh,train
image/img001175.jpg,Chuối già,Buồng,Xanh,train
image/img001048.jpg,Chuối cau,Trái,Xanh,train
image/img004196.jpg,Chuối xiêm,Nải,Chín,train
image/img002295.jpg,Chuối sáp,Buồng,Chín,train
image/img001518.jpg,Chuối già,Nải,Chín,train
image/img000823.jpg,Chuối cau,Trái,Xanh,train
image/img003392.jpg,Chuối sáp,Trái,Xanh,train
image/img003786.jpg,Chuối táo quạ,Trái,Xanh,train
image/img000472.jpg,Chuối cau,Trái,Chín,train
image/img003332.jpg,Chuối sáp,Trái,Xanh,train
image/img004229.jpg,Chuối xiêm,Nải,Chín,train
image/img005035.jpg,Chuối xiêm,Trái,Xanh,train
image/img004462.jpg,Chuối xiêm,Trái,Chín,train
image/img004215.jpg,Chuối xiêm,Nải,Chín,train
image/img000061.jpg,Chuối cau,Buồng,Xanh,train
image/img001337.jpg,Chuối già,Buồng,Xanh,train
image/img000771.jpg,Chuối cau,Trái,Xanh,train
image/img000418.jpg,Chuối cau,Trái,Chín,train
image/img000321.jpg,Chuối cau,Nải,Xanh,train
image/img002285.jpg,Chuối sáp,Buồng,Chín,train
image/img001537.jpg,Chuối già,Nải,Chín,train
image/img000261.jpg,Chuối cau,Nải,Chín,train
image/img002355.jpg,Chuối sáp,Buồng,Xanh,train
image/img000806.jpg,Chuối cau,Trái,Xanh,train
image/img000951.jpg,Chuối cau,Trái,Xanh,train
image/img000769.jpg,Chuối cau,Trái,Xanh,train
image/img001336.jpg,Chuối già,Buồng,Xanh,train
image/img001576.jpg,Chuối già,Nải,Xanh,train
image/img000760.jpg,Chuối cau,Trái,Xanh,train
image/img002181.jpg,Chuối già,Trái,Xanh,train
image/img002035.jpg,Chuối già,Trái,Xanh,train
image/img000462.jpg,Chuối cau,Trái,Chín,train
image/img002884.jpg,Chuối sáp,Trái,Chín,train
image/img004553.jpg,Chuối xiêm,Trái,Chín,train
image/img003049.jpg,Chuối sáp,Trái,Xanh,train
image/img004200.jpg,Chuối xiêm,Nải,Chín,train
image/img000207.jpg,Chuối cau,Nải,Chín,train
image/img003461.jpg,Chuối sáp,Trái,Xanh,train
image/img004395.jpg,Chuối xiêm,Trái,Chín,train
image/img003491.jpg,Chuối sáp,Trái,Xanh,train
image/img001089.jpg,Chuối cau,Trái,Xanh,train
image/img004833.jpg,Chuối xiêm,Trái,Xanh,train
image/img000221.jpg,Chuối cau,Nải,Chín,train
image/img002485.jpg,Chuối sáp,Nải,Xanh,train
image/img005087.jpg,Chuối xiêm,Trái,Xanh,train
image/img000359.jpg,Chuối cau,Trái,Chín,train
image/img004117.jpg,Chuối xiêm,Buồng,Xanh,train
image/img000916.jpg,Chuối cau,Trái,Xanh,train
image/img003351.jpg,Chuối sáp,Trái,Xanh,train
image/img000208.jpg,Chuối cau,Nải,Chín,train
image/img002782.jpg,Chuối sáp,Trái,Chín,train
image/img000230.jpg,Chuối cau,Nải,Chín,train
image/img000846.jpg,Chuối cau,Trái,Xanh,train
image/img001753.jpg,Chuối già,Trái,Chín,train
image/img000019.jpg,Chuối cau,Buồng,Chín,train
image/img000031.jpg,Chuối cau,Buồng,Chín,train
image/img002212.jpg,Chuối già,Trái,Xanh,train
image/img001646.jpg,Chuối già,Nải,Xanh,train
image/img002922.jpg,Chuối sáp,Trái,Chín,train
image/img003742.jpg,Chuối táo quạ,Trái,Chín,train
image/img001768.jpg,Chuối già,Trái,Chín,train
image/img000698.jpg,Chuối cau,Trái,Chín,train
image/img004486.jpg,Chuối xiêm,Trái,Chín,train
image/img000675.jpg,Chuối cau,Trái,Chín,train
image/img002447.jpg,Chuối sáp,Nải,Chín,train
image/img000330.jpg,Chuối cau,Nải,Xanh,train
image/img003057.jpg,Chuối sáp,Trái,Xanh,train
image/img002998.jpg,Chuối sáp,Trái,Xanh,train
image/img004455.jpg,Chuối xiêm,Trái,Chín,train
